Day,Confirmed,Deaths
1,1,0
2,1,0
3,1,0
4,2,0
5,3,0
6,5,0
7,5,0
8,5,0
9,5,0
10,6,0
11,7,0
12,8,0
13,11,0
14,11,0
15,11,0
16,12,0
17,12,0
18,12,0
19,12,0
20,12,0
21,13,0
22,13,0
23,14,0
24,15,0
25,15,0
26,15,0
27,15,0
28,25,0
29,25,0
30,25,0
31,27,0
32,30,0
33,30,0
34,30,0
35,43,0
36,45,0
37,60,0
38,60,0
39,65,0
40,70,1
41,88,3
42,105,6
43,125,10
44,161,12
45,228,12
46,311,15
47,428,19
48,547,22
49,748,26
50,1019,31
51,1261,37
52,1668,43
53,2224,50
54,2898,60
55,3600,68
56,4507,91
57,5906,117
58,8350,162
59,12394,212
60,18012,277
61,24528,360
62,33074,458
63,43502,579
64,54179,789
65,68787,1054
66,85644,1354
67,103011,1767
68,123951,2298
69,142396,2636
70,163886,3200
71,188340,4021
72,215478,5039
73,244611,6108
74,276979,7933
75,311823,9490
76,337620,10857
77,371142,13110
78,399386,14617
79,431182,16696
80,465909,18828
81,499384,21085
82,531121,23168
83,558250,24849
84,584063,26613
85,610710,29318
86,640558,32071
87,672431,34429
88,703864,36698
89,732265,38659
90,757600,40178
91,784919,42016
92,810436,44689
93,838317,46999
94,872238,49171
95,909719,51267
96,944008,53272
97,970611,54522
98,993805,55997
99,1018660,58374
100,1045172,60888
101,1075604,63098
102,1109561,64859
103,1139094,66444
104,1165109,67772
105,1187028,68832
106,1210755,71066
107,1235265,74010
108,1263704,75733
109,1291440,77306
110,1316281,78761
111,1336450,79692
112,1354226,80681
113,1376521,82334
114,1397723,84102
115,1424732,85840
116,1450860,87432
117,1474512,88658
118,1493513,89502
119,1515296,90291
120,1536404,91933
121,1559376,93411
122,1585219,94718
123,1608845,95887
124,1631265,97060
125,1651220,97673
126,1670382,98165
127,1689253,98937
128,1708012,100397
129,1730465,101621
130,1755007,102813
131,1778405,103775
132,1799048,104380
133,1820935,105114
134,1841714,106194
135,1861697,107183
136,1883406,108189
137,1912013,109304
138,1934528,110032
139,1953146,110422
140,1971347,111144
141,1990135,112175
142,2010981,113095
143,2034127,113973
144,2059596,114753
